site,lat,lon,climate_start_year,climate_year_dur,pop,birth_rate,prev0,nSims,simulation_start_year,simulation_years,demographics_filepath,NMF_filepath,CM_filepath,SMC_filepath,ITN_filepath,ITN_age_filepath,ITN_season_filepath,vector_filepath,prevalence_comparison,prevalence_comparison_reference,prevalence_comparison_frequency,prevalence_comparison_diagnostic,prevalence_comparison_agebin,incidence_comparison,incidence_comparison_reference,incidence_comparison_frequency,incidence_comparison_agebin,climate_filepath
Dande,11.65868293,-4.387508153,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Dano,11.08374119,-3.023423033,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Dedougou,12.20077732,-3.416954816,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Diapaga,12.06905425,1.740144044,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Diebougou,10.84706073,-3.41260378,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Djibo,14.23681847,-1.288693472,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Do,11.05464261,-4.467959762,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Dori,13.94777113,-0.032401811,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Fada N'Gourma,12.1431698,0.629001404,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Gaoua,10.38728245,-3.099066205,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Garango,11.7745373,-0.681866926,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Gayeri,12.74825911,0.730306293,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Gorom-Gorom,14.6532744,-0.33365597,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Gourcy,13.19522861,-2.375780643,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Hounde,11.43953766,-3.518757322,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Kampti,10.23449398,-3.566889745,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Karangasso - Vigue,10.94189724,-3.907685791,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Kaya,13.11193952,-1.021485516,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Kombissiri,11.92469769,-1.292512153,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Kongoussi,13.47028287,-1.586241455,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Koudougou,12.28663151,-2.161058488,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Koupela,12.05558264,-0.272749373,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Lena,11.47744053,-4.019182159,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Leo,11.29328564,-2.223137257,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Manga,11.57163638,-0.979185344,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Mangodara,10.25697728,-4.187478718,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Mani,13.27128604,-0.097266193,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Nanoro,12.55627387,-2.058170649,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
N'Dorola,11.65012757,-4.934305248,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Nongr-Massoum,12.4463258,-1.501365841,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
